/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
1.0
/*Number of Nodes*/
375
/*The Depot*/
-32.04399303296749 -9.85566799737348 depot
/*The Locations (x_coor y_coor name)*/
-19.59878213967088 -2.947044302555728 v1
33.97570712321799 16.773637135930162 v2
-59.14524295480303 -95.17192273950431 v3
-39.49379853878871 1.517013471695985 v4
187.82647147732186 -62.4076621048886 u5
33.96995872639606 -31.883318719217712 v6
-19.291017929983667 -13.914746937107083 v7
-6.812881728714738 1.760706448575594 v8
-2.328337208071807 -10.931432093642245 v9
75.054013132352 -9.484206236993998 v10
188.3107565906882 7.058776105365573 u11
5.906497744537856 -25.456184094810762 v12
248.69751213871072 -32.895299247452456 u13
157.19413450629852 -41.51946414568679 u14
-1.9055044440685578 8.211948138453497 v15
179.60202883403588 -18.793359619821043 u16
197.80169862479147 46.59548999961664 u17
227.06694281319363 -35.88892445847513 u18
226.40341071740275 37.78785977775433 u19
222.70845345301657 -68.91960413379306 u20
-3.108472066374359 -6.144585007422947 v21
203.40732203219906 45.89711766293728 u22
49.054746091691975 9.665160664837307 v23
208.70674064515555 -27.92158401702887 u24
13.184818897188663 5.996151990700394 v25
-0.3860888486369766 0.7183389200084332 v26
-37.43688150358432 -119.29509567315249 v27
130.13083552151735 9.648755804581983 u28
-46.667848290429674 -13.421550114987497 v29
207.70978168555163 36.77923682068012 u30
168.37896239931257 49.28232654728937 u31
189.70592470418228 73.62313154706277 u32
184.6621055769678 46.904909618533864 u33
232.89031350778765 -38.96705558872783 u34
-64.79611329021498 -14.656302426001067 v35
208.41794800833264 19.387733796482014 u36
-13.730057569498832 10.469506727830344 v37
-74.72719299755423 73.48024987835814 v38
-78.43758987087188 -5.477232219220217 v39
236.6551725911209 -22.036873352897764 u40
12.22718008724142 113.78725886466353 v41
5.173790865871565 1.7006414889167971 v42
-4.043945754964184 41.69087697996767 v43
186.39340236364612 13.471677410538978 u44
194.81751538194268 -0.846615104436695 u45
265.83570228289796 -8.609024714872941 u46
125.9387372026041 99.34471717117266 u47
3.0725347833068315 19.841459747641274 v48
-31.812797502628243 -27.57969557016552 v49
179.2341013464891 0.8615452325277172 u50
-8.348106467920248 22.165408759930926 v51
-6.268330639547621 52.93408070836736 v52
169.20827514427904 16.37878995180453 u53
8.995738436537668 48.8335140379488 v54
-10.492335574406509 -3.384807407883988 v55
10.325138385119882 -14.315526814138735 v56
-39.26443406695879 -104.67583046286683 v57
200.4881631221715 0.6945736322808302 u58
22.287940086794343 -17.57738127436637 v59
163.70702986480615 -65.90022957744787 u60
213.0203771341335 59.52155150186131 u61
-14.617861179205835 14.53180574251608 v62
0.6939947762567881 8.406394277002239 v63
-12.920592395446612 -12.555917561002556 v64
1.2953608978093856 106.92708103295945 v65
182.36779592722348 78.5074881598704 u66
181.62935038709284 -38.69323979183399 u67
32.787089516960705 50.95264152273567 v68
-32.03381887796713 24.393709980875425 v69
-22.256069475179306 -62.29537119585452 v70
33.05753952891789 5.216063755618527 v71
33.56058128431997 15.915358977090543 v72
166.64264252779085 -17.99244854949548 u73
209.12637075178438 -0.5835815545452699 u74
222.93515070591593 -54.90649822213047 u75
229.33792900552177 108.66576920461904 u76
164.4357642345401 21.517859157786116 u77
-0.40241829259218603 7.794959416350463 v78
29.477406599056998 -26.217582276782494 v79
-47.45058377746517 -10.291985059054234 v80
-5.4587100878864225 -8.407229977600638 v81
-70.07395746792027 14.637523632164227 v82
50.80892873602714 -48.62367818064479 v83
196.67057408354347 50.85717992942897 u84
195.90031851270922 -10.035875716305743 u85
208.39190813807676 6.278405490560068 u86
156.4742861856039 11.869158072801564 u87
222.32965864284796 77.19624403067004 u88
185.5823152085165 -4.900876312658316 u89
214.6445265211589 0.7162065232565415 u90
122.02527832050279 1.6484336092452676 u91
240.00148794319824 -6.755718938951801 u92
210.43111400564766 13.165328636594122 u93
-23.6856833747484 -18.523331002448863 v94
9.953197332529786 7.044476789371355 v95
5.624461744818879 5.668756807139606 v96
-13.881564833646761 -9.278771351499095 v97
222.26209460424383 -55.01656411682164 u98
-33.84834693101695 8.310043040384592 v99
-109.74382091605813 94.64268763770866 v100
55.653118971020646 -82.63848951077819 v101
198.7040931867993 -0.025908709922149824 u102
200.10453508308953 -0.34219435223078015 u103
-0.8610745101119207 -42.389717924295184 v104
34.287583394110605 -5.087524159655847 v105
141.25651597530592 64.46422533960222 u106
155.99918409032955 -6.6387079267671245 u107
21.335842774336353 -12.602873503947698 v108
134.19111925059224 1.9082801080994978 u109
15.5641616896873 -1.4397091937737143 v110
182.26762635035618 46.738921700242685 u111
182.56950792970156 -46.958191705098656 u112
178.27970867203177 -15.535642113990043 u113
143.54700981779575 -63.462090545309756 u114
4.848004934590687 -107.32808685648679 v115
-47.80317618452938 62.89404384201236 v116
208.95150505367948 5.874585530817556 u117
33.4487453152506 -15.485373718296897 v118
21.160665535906894 -53.538781423192155 v119
-9.831395168129575 35.78144469153092 v120
18.286042035273343 -30.810279099829575 v121
189.31984939601682 -16.21413972804334 u122
13.238028821742134 -24.5129055751259 v123
0.059936492749319344 0.2997860393676115 v124
193.78242431151176 62.27165125412496 u125
186.01642912573638 53.733972157060734 u126
193.60341701200497 -48.851329167597015 u127
243.38534924305526 64.47846036211483 u128
-6.240766258306846 6.5237797767310655 v129
289.7475845722995 33.39910782417224 u130
235.0616736557885 81.4211305651161 u131
116.12117732532076 -36.84969894102521 u132
64.02848212018975 44.1317231807448 u133
194.51332835350001 10.771789168915545 u134
-67.44664938209021 -13.638006071186494 v135
-14.385585615919725 -29.8657689801998 v136
275.03196855621405 -38.80627007506154 u137
-41.789246582006164 61.447288993525056 v138
19.644239647174533 -21.39380548702969 v139
-13.318954245216684 -43.04330049506904 v140
193.4265997054869 8.48054732984462 u141
-57.779257494427995 -1.5049839895660078 v142
195.7058185507572 -0.3946822221574443 u143
176.5093014971116 -57.97682512372368 u144
195.6350240821156 6.224406975703037 u145
211.42749785687522 0.8560103029025955 u146
12.662622919955423 -9.146836730277151 v147
227.44667809010014 -18.530567032541907 u148
63.000967414167604 -34.56772524249783 v149
139.64458081652145 51.2115618520547 u150
33.85470282548581 -51.33268488914253 v151
223.09638887272723 -18.600478510854508 u152
205.76878564508647 -4.604376910915901 u153
4.816956569004761 21.81560194580603 v154
-15.30127316441976 44.225754983594506 v155
25.057942783293253 -14.923130109400157 v156
203.78299072776133 -16.635467562942377 u157
222.828207710369 -21.52482647826521 u158
263.2033658935597 52.31529695579191 u159
32.40473027206057 -52.994368027633385 v160
-0.3791241146486183 1.2437360381121318 v161
168.33335601014744 -46.95000215609509 u162
178.6690171297537 -44.77043815975576 u163
-13.075513108794443 -19.061976155932015 v164
103.66209319066768 -60.646186657091555 u165
173.99564985428202 -13.243471715805311 u166
-15.313716154211933 60.30498977268899 v167
271.5505900038288 23.76891732724758 u168
-3.6345312526108007 93.56301428974723 v169
73.63257469582787 46.31635922848948 v170
198.27094396407315 2.219049635870916 u171
157.08812196087374 -6.49696081724352 u172
187.2545390426864 -17.73271210943081 u173
10.183493266041943 7.564774245902814 v174
-23.520079914702098 96.36516023245943 v175
219.30037425310482 14.926033204553427 u176
219.29407890497754 -34.88036568852393 u177
182.67968450798588 38.57369562609733 u178
209.26200824042573 -26.523807243281627 u179
199.85621736326786 7.955331873102815 u180
172.61165198317983 16.36996625973056 u181
17.212713306257275 -57.513809953107554 v182
-29.465883605089495 -0.9237163491842346 v183
173.61892687751475 15.533262869404824 u184
176.26054350555881 4.843168045110823 u185
136.71161521048853 -0.043697352757509134 u186
11.078429972616995 -1.3953509845781626 v187
262.27201757242 0.4490888605225096 u188
199.45009651140043 -3.0622035619221335 u189
173.50086019759877 24.495093114134008 u190
-1.3580268317351933 3.965509708484527 v191
4.2280798846500804 60.28518332236464 v192
200.9119156753404 -5.30391467023693 u193
188.01550505573238 9.254088186082036 u194
-15.222333374309164 -50.89715860073756 v195
-21.008650958628817 10.012314072014416 v196
210.5724577083858 -7.478791278295969 u197
29.37007042190814 119.39955176296648 v198
213.80460290539958 28.133378661114342 u199
80.25803783647163 -16.350490640124303 v200
-1.2214226196353037 -22.50052935085619 v201
196.50591221614573 -1.4212514758018677 u202
62.04382105571942 -56.62852959369906 v203
-23.44535441339898 13.942707644856915 v204
200.36248871215412 0.8032935093172021 u205
11.506632725615736 -65.22305170393454 v206
29.81640071506534 13.491675806762624 v207
-8.61829520516793 -3.836278655187974 v208
-5.736569229698758 3.2891905726369712 v209
2.9876584499917573 11.577756914181977 v210
210.72320594068609 -58.7981965753277 u211
60.60687166729821 0.8342977514711276 v212
6.731364939907999 2.4770841635572234 v213
-21.75445151141874 18.94697076817524 v214
149.53543150282735 8.26690285651519 u215
10.681708855232776 -14.393666135329788 v216
-4.385582280310206 34.094377695939 v217
187.1169716189728 14.460944076175258 u218
194.3046598723168 18.807302476964143 u219
2.452989367938921 -1.561294152840613 v220
207.53734832727594 -82.17761805025975 u221
19.505104327844023 -53.13316972962328 v222
184.51485241785187 -21.454961023470165 u223
7.906407088240326 11.86572835674358 v224
-15.542570900680658 -54.80163487973543 v225
-32.57103064682309 -48.9905306821499 v226
45.79653430154482 -42.46298685652184 v227
198.80460250280743 3.1729764745074376 u228
188.87873654034507 13.848404031172606 u229
-11.537238776766454 9.392368559823069 v230
-0.241740603974972 0.4168835050175072 v231
182.53931200449537 -23.55192289907206 u232
194.22657991433462 8.37583307612386 u233
1.0794331741111436 -1.5642963391812945 v234
223.24495827569544 32.33965258747589 u235
199.17010953179562 -35.053167926428365 u236
180.69124605798947 -22.27021598643929 u237
16.55803177112539 10.389493437716986 v238
33.91419605100635 80.71314025971836 v239
219.58195362091124 -4.687449050278896 u240
232.9897105766739 4.934643256765718 u241
202.58742686846045 -5.655113427919862 u242
-26.608235840471337 61.58456881330176 v243
202.08345811003647 12.322250449427614 u244
270.51530307282496 47.66466146159317 u245
46.97988916261141 8.89622281578309 v246
195.1001248209076 1.0782667851716776 u247
-39.03428211961346 -49.507407173296386 v248
230.47784302115022 12.412314017194158 u249
163.68083628888945 -7.719036679161007 u250
-3.695156359608669 -7.128425990008766 v251
64.92399156004461 -2.4115778209032626 v252
-143.63156031973003 -18.293065308968323 v253
291.28797975828945 -108.31247345424842 u254
-43.28414219133717 -78.01596920978544 v255
4.227369701839295 -14.841072956640845 v256
231.0641067586323 22.50672722773884 u257
-8.617291302351141 8.006377935105766 v258
187.09469560336407 -67.9119658539018 u259
167.5423441021168 -26.334812098522313 u260
-25.93255401773572 16.33743249919896 v261
228.4960271593911 0.12899084703514038 u262
-9.467739951381676 -1.4457070296411099 v263
2.5451976491591872 -29.83144327847464 v264
215.89629589519842 23.84082530085858 u265
58.163392764653565 25.43123599024814 v266
-0.20361443813684454 0.6727306029328574 v267
-67.31920147159147 45.29624359337984 v268
190.27168110398958 -11.733634014266555 u269
143.7846385338902 -48.77361499237664 u270
231.3671998463123 -34.65557423534291 u271
33.96692644251197 1.9576949710087557 v272
247.22700207581616 -45.54955680471435 u273
194.1457686684615 -43.39121753493329 u274
113.17769583937604 -36.59526974850169 u275
3.7994247962037435 7.729510863682098 v276
-70.12595516330401 64.1353685491167 v277
255.7790675674872 21.01749390583693 u278
9.109525973559473 -16.136754519134254 v279
0.49909791138328813 21.221592177137797 v280
188.65666005581986 -47.713310214481815 u281
54.84745519020376 -85.57753975635265 v282
197.36195482744674 83.67246429058609 u283
5.473569154488042 -2.8894978533538254 v284
39.27941864680617 -9.608645681543223 v285
-37.53655966575984 -70.3170290219101 v286
197.17003005123962 -0.592520822682577 u287
195.6436545255923 -38.01113765787838 u288
1.1608368797996313 23.591640242437656 v289
20.569886614359277 -11.747001105694524 v290
12.60685691364624 -0.33683450505198353 v291
230.30554789911756 -34.99572149230636 u292
-63.73493495016124 39.28236020618942 v293
12.892283201212821 36.09975622792105 v294
7.734890213189476 -23.46447650856856 v295
247.84689561097136 -33.19719041997543 u296
246.9960129310448 16.881549104615793 u297
29.610586035872625 79.20813682619436 v298
25.62812090213973 48.74625990911036 v299
219.14742911028333 2.8534993855141906 u300
225.234831439936 10.590027069147325 u301
-39.06359758773864 31.96637449749587 v302
130.65779874719948 79.76205263038148 u303
202.63882564550343 1.9752577377296205 u304
265.467282447196 23.078872006287668 u305
4.990729863219147 -7.785340140971268 v306
-6.343028477490489 20.851295437228497 v307
-0.6311983092037738 -5.768070821996505 v308
88.2715813681382 78.16161978601372 u309
7.972296755796838 41.06036470200419 v310
204.7206633985461 23.38958586650152 u311
4.616350313861169 3.2987583601795043 v312
191.68228568834417 15.319768880686192 u313
14.620209973007967 34.33963366017921 v314
-28.507906358952074 1.344699712641051 v315
215.6575309573642 35.66563947681499 u316
-8.21135944658686 28.574433825232642 v317
198.05444800137082 -2.5325238490965507 u318
192.80576250393693 76.4868987309678 u319
264.60120024360225 -24.02306517448066 u320
31.587097090332108 -79.02139608242891 v321
-3.2457023830134863 4.917989163196573 v322
-2.41129817858482 -0.32088959292712316 v323
33.21022191473137 -27.625357719541093 v324
148.68874774202675 -26.606018084406525 u325
228.53482130692052 -14.529698246507223 u326
181.63846861490086 63.776619118693354 u327
164.89367399135517 -27.908997286401124 u328
-77.60134494644998 8.287292387020244 v329
181.332254884048 37.6544805447701 u330
2.4209702235282093 89.44308010035788 v331
211.50778140992932 -69.65286587306117 u332
231.05705356561256 2.4564962371150987 u333
284.92349980462257 3.028832095851012 u334
190.72828429652657 -22.89723373013509 u335
206.58534296031385 -36.026535231406314 u336
-35.201466912755066 -68.49675120281601 v337
-15.861750508360444 14.21279034429434 v338
40.48168123236567 -82.7349015691696 v339
170.38139416383137 44.168423906686115 u340
0.18901726956317316 3.662057078159197 v341
35.31020089595003 20.52438671187714 v342
220.57551298873884 41.26479149195579 u343
213.44946520388373 21.848962166508784 u344
173.51906482274356 2.959033452531849 u345
-42.688517183219766 49.2773928573096 v346
-52.00590635528628 -1.1378375880842024 v347
199.94435379115026 9.62937451794432 u348
187.22012377381003 9.014767257577496 u349
161.99500219031148 -13.92566501959254 u350
200.07915740612822 -11.038878944466346 u351
128.07952637670803 -31.18814101683876 u352
-88.55983537498084 -51.70622410916486 v353
26.359797860502674 -26.12531515826946 v354
212.2901648805976 9.294305854734699 u355
7.064758060159866 -4.90437823207102 v356
-3.5541717653283347 -9.168046417419172 v357
-4.262321346793468 -3.078719977836607 v358
194.6412946917662 42.2111917674302 u359
-27.405822883626183 -9.421014251717372 v360
224.44338868056607 -17.26463423473413 u361
-86.52113313368115 -72.63086740321616 v362
-4.902881695492442 15.111733482395062 v363
-12.88231165769518 -27.944758581570454 v364
19.595541975644405 37.19971173823565 v365
49.92552566176037 14.831842383056658 v366
37.10125609882832 -37.2006447871919 v367
158.8452198035808 2.743602357925043 u368
124.3600822959137 -42.826716740497545 u369
255.2124329886552 -35.454213901058424 u370
213.2469163524802 -32.64400002708263 u371
227.72695594859334 -0.40074599146943635 u372
1.525617676382591 10.074873912376704 v373
198.12049656144282 -0.5298418722968864 u374
