#MAXFLY 9.959005494839639

/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.4320423587896036 0.9288506608367982 depot
/*The Locations (x_coor y_coor name)*/
83.0 11.0 loc1
84.0 44.0 loc2
58.0 77.0 loc3
46.0 45.0 loc4
2.0 31.0 loc5
27.0 61.0 loc6
21.0 47.0 loc7
63.0 14.0 loc8
82.0 30.0 loc9
10.0 65.0 loc10
35.0 49.0 loc11
9.0 97.0 loc12
33.0 64.0 loc13
73.0 59.0 loc14
3.0 8.0 loc15
10.0 86.0 loc16
93.0 63.0 loc17
1.0 46.0 loc18
45.0 49.0 loc19
59.0 66.0 loc20
39.0 62.0 loc21
98.0 91.0 loc22
38.0 31.0 loc23
31.0 16.0 loc24
50.0 39.0 loc25
90.0 32.0 loc26
67.0 91.0 loc27
77.0 95.0 loc28
32.0 86.0 loc29
92.0 4.0 loc30
46.0 52.0 loc31
98.0 87.0 loc32
20.0 77.0 loc33
1.0 95.0 loc34
3.0 78.0 loc35
76.0 21.0 loc36
78.0 43.0 loc37
10.0 5.0 loc38
55.0 72.0 loc39
3.0 13.0 loc40
74.0 75.0 loc41
87.0 84.0 loc42
60.0 8.0 loc43
27.0 15.0 loc44
64.0 45.0 loc45
25.0 95.0 loc46
26.0 35.0 loc47
36.0 40.0 loc48
77.0 29.0 loc49

