/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
375
/*The Depot*/
39.343244376786686 16.53597638530147 depot
/*The Locations (x_coor y_coor name)*/
-64.78707523924828 -95.16128386787622 v1
37.82201146133935 77.74903638968513 v2
63.77262148115862 -21.448032044481742 v3
-1.1441674599922012 -9.696032462301092 v4
23.204564914339805 22.79966989293498 v5
21.14808531756602 -22.799196129646337 v6
34.00069653355483 -12.043482042647247 v7
-2.2209377756206488 10.358164080926723 v8
-17.638920517933013 -12.634996767018706 v9
3.3142580760611122 5.627084315220008 v10
19.253188398317768 114.01359609873126 v11
-32.51450747357941 -10.201109663267877 v12
40.73636883172959 5.2510677204403935 v13
53.982483119278946 -119.28905563574098 v14
40.21107447146139 -25.56626194322444 v15
-26.46257151490969 -12.019974058572123 v16
15.55000952608087 -54.78409808962743 v17
-4.174534348547171 4.566475062779004 v18
44.0033146040975 21.76522910071495 v19
4.95887791148163 -27.7055768731892 v20
0.6680471535531325 -0.5177747999980421 v21
2.615386984063202 66.70914767712975 v22
-34.813063932717725 68.23679308421123 v23
-82.37229021093296 75.90314371594829 v24
-0.5596570166741888 -0.06804401725806294 v25
22.304049496381364 69.46110015217488 v26
-42.37108791484729 -62.40542330428696 v27
4.375566621027553 -11.036871251833325 v28
48.13119132202832 -5.941592755605252 v29
-3.9542118400896973 6.006567601716271 v30
4.680779946034201 -9.429138650676029 v31
-38.97090216839719 28.317815883342654 v32
-11.827491109792353 5.341737183662534 v33
3.2386944986178854 -6.363374041165306 v34
-42.52209061620225 13.619562885723212 v35
-1.0306548046507402 68.79424433193708 v36
-7.199685836803972 -16.086534511419643 v37
-17.61248398265117 21.065815824046247 v38
49.844261269993204 4.175230722599268 v39
-3.5244338848546395 -43.37809811095543 v40
8.099855743487534 38.634628917543395 v41
-3.4704959492481637 -2.6557011096452814 v42
58.300065983522124 47.01979741114427 v43
28.55263610958916 58.082694311694716 v44
40.30416840029313 13.216167179396255 v45
-1.2052890113021324 16.4922469258675 v46
27.630332227088527 19.7347542761847 v47
-9.060154422744786 9.93467805599423 v48
-3.150822555230658 4.788836618645655 v49
-47.84772204774396 47.523281632707636 v50
-6.673284971244811 3.208913916956566 v51
-25.599383222981384 31.27897297185126 v52
29.08243465997136 21.981127617118883 v53
-52.33231756588386 28.443729880953207 v54
17.412027111228145 -7.2855941335735785 v55
-30.875142788648073 -15.303017239703921 v56
-56.334187980099706 -68.08081390412067 v57
-29.71570423431552 -15.582487246825695 v58
-39.03708215736562 78.29697186169543 v59
-25.118025718670513 -13.668029002813151 v60
-60.73178705662288 11.298679535035113 v61
3.4358578718688326 1.2142473278560129 v62
72.21370116123482 -50.706705067455225 v63
-1.2592362938604467 -0.2705136899438141 v64
-77.84030201259309 20.47128210648884 v65
5.2702890048912305 -5.145606401562343 v66
-1.4753948254801315 -9.517794804948823 v67
-10.892306444263001 -38.59497527789045 v68
31.451938347262146 -23.784336850131098 v69
10.39338890949345 1.669332385348207 v70
8.654259143602417 -51.77874741297492 v71
25.170775849505603 5.842821023358482 v72
16.98123487863153 21.26823680367864 v73
20.654595937770523 -8.300725713485688 v74
27.825466160368464 58.54626008220396 v75
25.873198248125213 36.07055974341655 v76
-45.66016328037489 5.1676004512403 v77
18.31641070251037 5.698927062097084 v78
-15.849626623758994 -48.935336265326335 v79
-1.3859707026900396 -0.9705478548023964 v80
10.98289166786869 -2.1310035479180804 v81
9.417628072935923 -0.37893910027774386 v82
-14.119345922078976 60.50384092218293 v83
-12.664646814699596 -5.346644925748762 v84
-147.2817947733311 10.107537987362006 v85
42.61060276226378 -59.9946135266932 v86
-74.47351697845244 -57.708837725675 v87
-6.273974476290436 1.250645476238247 v88
7.8813606119159925 44.02659254578905 v89
-33.80199203249007 22.46831098813585 v90
-10.331656457490107 -41.342297702242924 v91
-12.654249500681969 34.37620890788271 v92
5.955618551524433 -83.2000344772993 v93
-5.292986582259571 -17.657234401175515 v94
-4.707502015849356 -4.422585318887526 v95
-43.92121333786268 -84.39984015190232 v96
6.143637558600866 2.6807363447182944 v97
-7.459812323482649 -24.850825538195426 v98
-3.1683880180371373 -51.677858786549905 v99
-33.033214142472865 -20.381908884206066 v100
-3.2575141817271542 64.57620346648436 v101
-5.72630050703136 -2.550176735647082 v102
16.512002832663637 62.30365357595472 v103
-3.8505694907908237 -63.13739778732192 v104
9.963281186632416 13.346307056749653 v105
-13.622869035236167 -22.40617653520839 v106
72.6316162895116 -6.151402850380278 v107
14.875328377800917 22.430364693478722 v108
-0.8833275166374749 -2.6980297109312383 v109
-1.4959277470524295 -43.53267237379747 v110
-0.9064501600774375 0.4280009647135428 v111
0.02040329990081452 -2.865455685053111 v112
13.932074798711652 -16.371937538854226 v113
17.496908829243264 -17.14337678911313 v114
24.14805253666798 18.990970445635597 v115
-27.140172602154372 -8.825562631621 v116
-32.42581371026198 26.428977781868827 v117
-3.105590247773119 3.3003673483431455 v118
2.280707687629976 0.24545001742440284 v119
-21.850678401543785 26.132789437873708 v120
0.8186854262878764 3.1720717820551485 v121
9.006492803692824 -45.89141533753371 v122
-1.9694656345485322 -2.542045271180218 v123
20.208305730233356 19.183153948731462 v124
33.03829564157615 10.335975158518107 v125
7.332130301846357 3.554159545942798 v126
-13.921690997190268 -3.1006901210680504 v127
21.203699794001455 -24.13518131329839 v128
-5.143691483486421 61.892623839656295 v129
-21.280694755455013 -0.03282293649237572 v130
-14.322861809305566 47.454533014193096 v131
-22.083428478417574 17.964766494975343 v132
1.2991018939391066 59.557500633439055 v133
-41.996449492890086 41.58945834588124 v134
9.877076798690585 -6.763229755050698 v135
-9.315704687097266 7.360460428927676 v136
1.0133682932047736 -0.6254105989560168 v137
1.3604113347405606 -98.50310457133658 v138
-9.831767524365404 20.36221030062286 v139
-13.481698823172552 14.647575308112978 v140
-33.87287126900169 -40.9552890662607 v141
-19.594418111748833 -27.1187231555277 v142
-31.091747999958855 23.645739986775027 v143
7.547473210298156 -59.643877618029144 v144
64.45948495029549 41.19483944648158 v145
41.55060117077781 47.761040912430765 v146
0.39092389968828456 -0.2825704899633148 v147
33.99405915549792 25.15921054625379 v148
95.56457315834645 -2.9555122439826453 v149
24.528239708096052 -61.69240730011735 v150
-3.091072409683431 1.1468682784067799 v151
-3.7698601163945322 31.845560736564423 v152
-20.08458938327296 -2.3942180446106676 v153
36.10190662917112 -10.563411594406645 v154
-24.893743219339406 0.8264303765556832 v155
-6.921643449805774 -0.44852755534261723 v156
-40.677474789812315 11.786463485140091 v157
4.864233705864646 -9.30302579493571 v158
-4.107410065006407 -107.18880138019875 v159
4.795655788032317 -3.647640142139765 v160
-85.00671221738233 -8.215995446814155 v161
15.547227682252517 -18.684951286435073 v162
29.614735359082378 -17.116514837618205 v163
49.27837708137928 25.990685997585654 v164
43.05476087174122 8.088006772194685 v165
-20.18220391106852 6.903980226837021 v166
4.715330480699488 6.313927596889656 v167
6.678007088877004 97.7153797825442 v168
-65.20473990837618 19.09604793602571 v169
-95.23821495295772 -62.78169140851479 v170
28.755187154608873 26.53801692795808 v171
-2.153269690334869 53.38248638569482 v172
-11.34560142334411 -62.43476976474008 v173
3.2777594656829154 0.10839713104820167 v174
-31.637583067642957 -11.97191382078607 v175
106.82956349276 67.88384681729458 v176
-48.19050651175733 -61.59833387799224 v177
10.90507319918565 43.36028509762605 v178
-32.4035473113818 -23.881500057402565 v179
-78.71980080921004 99.03589745656566 v180
0.9783177126307221 -5.427535625959846 v181
-22.641594212873684 -11.97664689899858 v182
-10.31784335312254 5.091816354172396 v183
-61.95950350328813 4.994978415855968 v184
62.87178391695787 -70.01311000383652 v185
17.140734922756977 -16.551356869176725 v186
-25.359790162652207 19.90075768715992 v187
0.22604673141230208 -0.25844856661888327 v188
-73.46554316471365 -77.6777347587369 v189
