/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
1.0
/*Number of Nodes*/
500
/*The Depot*/
-32.15158914572735 -47.76782090073402 depot
/*The Locations (x_coor y_coor name)*/
6.691972265115676 95.59886134935336 v1
-1.111543649750575 -65.54552118038458 v2
-11.346337788118968 -5.870142559929614 v3
-0.06630344853013408 9.488045739261455 v4
1.3089357496431073 -18.231282534791653 v5
2.230005493345163 3.738021143552306 v6
-23.484117889361034 34.84276932515978 v7
-64.61881781366624 -14.465563471432839 v8
24.619163787745638 2.122857881807688 v9
-97.76216088955118 8.899073977104262 v10
-13.266333941804183 23.1078446737576 v11
-6.475578165069759 -15.380541881969313 v12
-22.214807856866027 -22.09336608083393 v13
13.648820054282364 -18.393709810598835 v14
1.9554860384562829 -7.3300617886234285 v15
5.203175918519437 25.6228632017469 v16
7.242149314720656 10.546922139418523 v17
-14.45288576569908 3.444072013101541 v18
-6.320671219298225 -2.5201005158768672 v19
28.051137814431783 29.588670571402297 v20
-1.1863263978353114 0.4093814016673314 v21
32.336695665262056 13.291833534143032 v22
-20.113774069107095 -1.8732241904902363 v23
24.741220509280687 4.350238150047504 v24
-7.024806717943603 -43.48455191272192 v25
-13.412590307385797 74.52877527439634 v26
118.03187915421466 -30.278610749520922 v27
39.78642178771031 57.913994643660125 v28
38.77852523740741 28.09109334121607 v29
1.7559177722460015 17.884757117128878 v30
15.977667711601576 84.12199206405703 v31
-27.245665804384966 -43.27227996855282 v32
15.10516735954053 -11.760339521019219 v33
-10.951053420343738 74.50471459372484 v34
-69.11827283264228 -6.354122163569699 v35
-27.312429208629595 -29.715950633010408 v36
23.597747420172958 -8.221976138712604 v37
-15.15616358885459 2.484042616366013 v38
-5.542079757381867 -1.1045755143156222 v39
18.76422298931962 -25.755906992443467 v40
16.6560741782861 61.53513017952949 v41
-11.920296022039333 -36.485485871595735 v42
0.5514134519258262 -8.67242546092471 v43
-19.256262114092443 99.1921027527685 v44
-3.8425917123078093 -3.5693189092475404 v45
-89.02682329596632 -72.14917246888778 v46
13.628184054156483 -36.171319151586076 v47
-51.070805075796635 53.46340882877475 v48
-24.129762240243117 -3.8572656960932634 v49
-56.845949591622535 60.7973564952481 v50
-23.64795000951851 16.354583775474516 v51
59.76598136480912 -70.44208238736024 v52
-3.2798817767403667 6.28900500757631 v53
-36.80160944971901 -57.724378444196724 v54
0.5395104305610966 1.6873581401686462 v55
67.01239770818364 -36.46470170237617 v56
-30.596575387627347 -28.70123083685621 v57
-58.87321107479567 32.79734021748136 v58
-72.79474326056655 -78.95003093799183 v59
0.4331921521226285 -0.11172352098942274 v60
-53.492317783668646 -21.253912398754167 v61
3.699822790871696 -10.955100412081544 v62
-0.546696415560705 43.54572838676514 v63
42.726905581771476 -2.7235720412860034 v64
-61.23452900380214 24.738166357932705 v65
71.89249263133196 -13.879280484551762 v66
27.93397180567477 -58.53770320842802 v67
51.545308438353786 -17.277021257592207 v68
1.4117350899018317 -17.755701334608375 v69
-15.557392239149259 -12.485392597366003 v70
-57.04443212678206 18.153107985559675 v71
6.925796912124726 13.143654905604782 v72
3.8082782931156673 6.605000699058497 v73
-4.892500796462759 -1.6200750700917868 v74
-16.772062344141286 -23.75258113971552 v75
37.587768835970756 21.49310405795124 v76
4.856493111090169 -3.0837152455784342 v77
-14.051161871753665 -10.016613226342479 v78
-2.8573524051106007 -3.449693321329016 v79
3.888897768793872 -3.5524320047042357 v80
-35.687817803596246 34.27566442467652 v81
68.22550654955221 8.787163875829615 v82
31.075679084513478 -19.464254407616185 v83
24.99035431896341 3.057582464402375 v84
41.21283942526097 22.282017694783043 v85
-58.8851914160083 -53.78713646276506 v86
49.44897371074854 17.721476853425575 v87
-19.54458265658796 3.6704093165934384 v88
7.318665286406503 59.137787402221456 v89
-6.893166702098329 12.746794908686246 v90
-5.44495748466472 8.705981818889214 v91
2.9442547432849 -0.3919067593439973 v92
60.168272030618255 -8.475735374922591 v93
3.306803106054564 -17.682855560464603 v94
65.97300489971973 16.260649998374205 v95
4.6689766447747205 3.021879441405162 v96
30.27183970321675 28.946041727531124 v97
12.377135172602781 -20.926858583587133 v98
-64.86806053156297 -19.610475989034853 v99
-64.6789839078288 22.478733431398673 v100
12.618630769135306 -4.780002605031342 v101
3.0161305961925726 -20.740827147600367 v102
12.02526012207345 -50.57288249690519 v103
-0.5196890763955735 -0.3004235391631919 v104
-21.040148293762197 -22.782523915204532 v105
3.9803407074229007 -56.23411668426938 v106
-2.8445070796483574 -18.66292210541877 v107
-27.76495707786873 15.555477424360767 v108
-40.89920897794117 -36.51282905168684 v109
-16.864571362893088 5.2302645665682315 v110
-18.682815856199507 6.952704439795519 v111
-12.438641131885777 2.853157901445589 v112
10.56609275737966 -17.182631558590195 v113
41.92950126896786 -49.67343141684628 v114
15.829709095167416 33.305690566879846 v115
-0.7072149406773012 0.640712695259084 v116
8.455496728918403 3.764947136333486 v117
-5.522799620116701 -9.316928621399606 v118
1.5468286989346935 -27.26365869493924 v119
58.76755115571981 -60.58027194961632 v120
-23.425761112199073 28.80578491175457 v121
-7.347554934138081 -56.83407970402929 v122
55.184018961102424 -32.92985199734941 v123
-14.212154668000938 69.83101675898482 v124
-22.80219816961351 39.39625764291402 v125
-12.762177414567388 -12.736237235092387 v126
15.725288974340469 15.452413930083853 v127
3.238224268232667 0.6382131658195725 v128
-74.32126112848282 -0.8232591892929114 v129
24.11337102570456 61.517768471378226 v130
63.03194605097156 -11.847051368988781 v131
-21.158072839029785 44.44182640626233 v132
-5.391035959470286 -3.3748060747911888 v133
91.04740152713573 -29.51200803915884 v134
15.562640818889767 -31.0994458082844 v135
36.115307126388046 13.08381463899295 v136
30.56760862087804 -1.0876748689629188 v137
-2.333092279721713 -20.505933835507133 v138
-1.3344558062490697 -9.777397333462334 v139
-23.935334348585407 -57.68983681153591 v140
37.747271975440086 10.583890458478539 v141
