/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
500
/*The Depot*/
0.7430685336937398 0.24223280588533236 depot
/*The Locations (x_coor y_coor name)*/
15.0 11.0 loc1
30.0 52.0 loc2
85.0 96.0 loc3
0.0 58.0 loc4
71.0 55.0 loc5
10.0 99.0 loc6
46.0 35.0 loc7
47.0 22.0 loc8
20.0 4.0 loc9
70.0 91.0 loc10
61.0 18.0 loc11
67.0 91.0 loc12
10.0 24.0 loc13
60.0 95.0 loc14
22.0 82.0 loc15
48.0 86.0 loc16
97.0 77.0 loc17
43.0 61.0 loc18
73.0 39.0 loc19
52.0 88.0 loc20
67.0 76.0 loc21
95.0 99.0 loc22
18.0 79.0 loc23
58.0 22.0 loc24
51.0 27.0 loc25
58.0 27.0 loc26
13.0 99.0 loc27
71.0 98.0 loc28
53.0 64.0 loc29
22.0 32.0 loc30
78.0 50.0 loc31
68.0 90.0 loc32
50.0 32.0 loc33
35.0 72.0 loc34
89.0 62.0 loc35
6.0 10.0 loc36
52.0 87.0 loc37
13.0 53.0 loc38
38.0 88.0 loc39
67.0 7.0 loc40
35.0 41.0 loc41
68.0 82.0 loc42
42.0 33.0 loc43
79.0 56.0 loc44
81.0 76.0 loc45
86.0 38.0 loc46
8.0 89.0 loc47
88.0 93.0 loc48
35.0 42.0 loc49
97.0 45.0 loc50
45.0 34.0 loc51
72.0 60.0 loc52
13.0 49.0 loc53
45.0 99.0 loc54
12.0 47.0 loc55
63.0 18.0 loc56
65.0 50.0 loc57
45.0 6.0 loc58
17.0 94.0 loc59
93.0 29.0 loc60
32.0 29.0 loc61
71.0 56.0 loc62
53.0 64.0 loc63
92.0 12.0 loc64
55.0 9.0 loc65
35.0 44.0 loc66
88.0 33.0 loc67
47.0 35.0 loc68
2.0 54.0 loc69
79.0 11.0 loc70
38.0 98.0 loc71
40.0 30.0 loc72
68.0 40.0 loc73
29.0 9.0 loc74
78.0 93.0 loc75
47.0 71.0 loc76
29.0 90.0 loc77
11.0 63.0 loc78
