/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.3333333333333333
/*Number of Nodes*/
500
/*The Depot*/
0.27202621349725564 0.9944905074192237 depot
/*The Locations (x_coor y_coor name)*/
61.0 60.0 loc1
77.0 16.0 loc2
80.0 30.0 loc3
85.0 34.0 loc4
93.0 73.0 loc5
28.0 77.0 loc6
39.0 2.0 loc7
37.0 12.0 loc8
4.0 32.0 loc9
23.0 51.0 loc10
55.0 69.0 loc11
71.0 81.0 loc12
28.0 0.0 loc13
69.0 81.0 loc14
87.0 76.0 loc15
18.0 97.0 loc16
35.0 67.0 loc17
76.0 63.0 loc18
51.0 79.0 loc19
32.0 69.0 loc20
76.0 4.0 loc21
65.0 73.0 loc22
30.0 54.0 loc23
43.0 78.0 loc24
97.0 57.0 loc25
30.0 50.0 loc26
16.0 15.0 loc27
92.0 89.0 loc28
13.0 35.0 loc29
2.0 43.0 loc30
85.0 60.0 loc31
79.0 6.0 loc32
23.0 32.0 loc33
4.0 35.0 loc34
64.0 8.0 loc35
8.0 79.0 loc36
65.0 44.0 loc37
60.0 25.0 loc38
56.0 92.0 loc39
32.0 3.0 loc40
30.0 2.0 loc41
40.0 83.0 loc42
14.0 59.0 loc43
25.0 17.0 loc44
20.0 26.0 loc45
12.0 55.0 loc46
8.0 88.0 loc47
65.0 16.0 loc48
5.0 79.0 loc49
82.0 98.0 loc50
60.0 64.0 loc51
35.0 86.0 loc52
21.0 19.0 loc53
2.0 51.0 loc54
6.0 23.0 loc55
23.0 39.0 loc56
51.0 99.0 loc57
78.0 82.0 loc58
97.0 21.0 loc59
10.0 73.0 loc60
35.0 13.0 loc61
98.0 30.0 loc62
66.0 95.0 loc63
35.0 55.0 loc64
22.0 46.0 loc65
57.0 41.0 loc66
46.0 25.0 loc67
51.0 84.0 loc68
9.0 92.0 loc69
17.0 92.0 loc70
39.0 34.0 loc71
69.0 99.0 loc72
8.0 83.0 loc73
79.0 94.0 loc74
87.0 21.0 loc75
34.0 14.0 loc76
67.0 17.0 loc77
52.0 60.0 loc78
48.0 4.0 loc79
46.0 84.0 loc80
0.0 36.0 loc81
33.0 95.0 loc82
70.0 1.0 loc83
1.0 32.0 loc84
39.0 0.0 loc85
39.0 83.0 loc86
44.0 3.0 loc87
86.0 50.0 loc88
32.0 35.0 loc89
55.0 83.0 loc90
75.0 79.0 loc91
39.0 30.0 loc92
13.0 34.0 loc93
51.0 8.0 loc94
96.0 64.0 loc95
54.0 54.0 loc96
77.0 38.0 loc97
26.0 81.0 loc98
29.0 1.0 loc99
16.0 54.0 loc100
73.0 62.0 loc101
28.0 10.0 loc102
69.0 44.0 loc103
14.0 51.0 loc104
53.0 5.0 loc105
2.0 3.0 loc106
35.0 86.0 loc107
11.0 51.0 loc108
3.0 87.0 loc109
82.0 19.0 loc110
62.0 0.0 loc111
3.0 5.0 loc112
87.0 98.0 loc113
24.0 55.0 loc114
15.0 77.0 loc115
90.0 91.0 loc116
61.0 42.0 loc117
90.0 30.0 loc118
17.0 38.0 loc119
77.0 16.0 loc120
94.0 12.0 loc121
81.0 76.0 loc122
23.0 0.0 loc123
79.0 44.0 loc124
35.0 20.0 loc125
29.0 1.0 loc126
1.0 78.0 loc127
32.0 53.0 loc128
39.0 44.0 loc129
88.0 52.0 loc130
51.0 73.0 loc131
17.0 25.0 loc132
85.0 21.0 loc133
55.0 66.0 loc134
92.0 81.0 loc135
86.0 41.0 loc136
87.0 13.0 loc137
87.0 15.0 loc138
4.0 87.0 loc139
26.0 93.0 loc140
36.0 49.0 loc141
84.0 37.0 loc142
58.0 31.0 loc143
31.0 26.0 loc144
22.0 59.0 loc145
65.0 45.0 loc146
38.0 21.0 loc147
22.0 30.0 loc148
84.0 35.0 loc149
98.0 55.0 loc150
31.0 49.0 loc151
70.0 24.0 loc152
68.0 42.0 loc153
52.0 83.0 loc154
66.0 85.0 loc155
54.0 6.0 loc156
57.0 4.0 loc157
60.0 20.0 loc158
76.0 7.0 loc159
94.0 68.0 loc160
94.0 79.0 loc161
28.0 66.0 loc162
67.0 77.0 loc163
45.0 49.0 loc164
85.0 10.0 loc165
75.0 53.0 loc166
46.0 18.0 loc167
1.0 54.0 loc168
5.0 59.0 loc169
41.0 1.0 loc170
52.0 48.0 loc171
37.0 20.0 loc172
8.0 6.0 loc173
84.0 97.0 loc174
4.0 70.0 loc175
21.0 12.0 loc176
45.0 60.0 loc177
75.0 2.0 loc178
51.0 41.0 loc179
70.0 14.0 loc180
34.0 33.0 loc181
63.0 63.0 loc182
60.0 24.0 loc183
23.0 32.0 loc184
38.0 59.0 loc185
21.0 89.0 loc186
78.0 45.0 loc187
0.0 69.0 loc188
64.0 77.0 loc189
36.0 73.0 loc190
82.0 16.0 loc191
50.0 17.0 loc192
46.0 95.0 loc193
28.0 98.0 loc194
74.0 48.0 loc195
16.0 89.0 loc196
10.0 49.0 loc197
85.0 74.0 loc198
34.0 31.0 loc199
95.0 21.0 loc200
11.0 70.0 loc201
16.0 70.0 loc202
86.0 4.0 loc203
95.0 59.0 loc204
12.0 52.0 loc205
85.0 0.0 loc206
72.0 56.0 loc207
95.0 19.0 loc208
44.0 80.0 loc209
75.0 6.0 loc210
55.0 80.0 loc211
56.0 70.0 loc212
36.0 4.0 loc213
9.0 94.0 loc214
19.0 94.0 loc215
43.0 61.0 loc216
77.0 92.0 loc217
6.0 93.0 loc218
69.0 17.0 loc219
9.0 9.0 loc220
90.0 88.0 loc221
2.0 66.0 loc222
61.0 72.0 loc223
22.0 94.0 loc224
93.0 42.0 loc225
46.0 93.0 loc226
82.0 31.0 loc227
66.0 77.0 loc228
50.0 13.0 loc229
91.0 26.0 loc230
63.0 83.0 loc231
49.0 80.0 loc232
14.0 27.0 loc233
52.0 18.0 loc234
77.0 72.0 loc235
76.0 83.0 loc236
81.0 20.0 loc237
31.0 42.0 loc238
67.0 6.0 loc239
24.0 94.0 loc240
72.0 21.0 loc241
11.0 68.0 loc242
68.0 75.0 loc243
98.0 91.0 loc244
3.0 25.0 loc245
80.0 23.0 loc246
72.0 96.0 loc247
29.0 62.0 loc248
95.0 48.0 loc249
9.0 88.0 loc250
58.0 53.0 loc251
94.0 9.0 loc252
21.0 64.0 loc253
84.0 25.0 loc254
10.0 52.0 loc255
84.0 39.0 loc256
48.0 46.0 loc257
57.0 79.0 loc258
60.0 10.0 loc259
72.0 87.0 loc260
67.0 63.0 loc261
3.0 29.0 loc262
59.0 83.0 loc263
81.0 75.0 loc264
64.0 61.0 loc265
65.0 36.0 loc266
23.0 44.0 loc267
20.0 23.0 loc268
70.0 25.0 loc269
38.0 30.0 loc270
51.0 76.0 loc271
33.0 29.0 loc272
23.0 76.0 loc273
68.0 73.0 loc274
84.0 9.0 loc275
43.0 76.0 loc276
74.0 52.0 loc277
37.0 27.0 loc278
43.0 66.0 loc279
67.0 28.0 loc280
1.0 17.0 loc281
36.0 5.0 loc282
93.0 96.0 loc283
9.0 54.0 loc284
28.0 90.0 loc285
20.0 78.0 loc286
74.0 31.0 loc287
6.0 77.0 loc288
80.0 39.0 loc289
5.0 43.0 loc290
37.0 28.0 loc291
64.0 65.0 loc292
16.0 39.0 loc293
48.0 34.0 loc294
65.0 58.0 loc295
45.0 4.0 loc296
47.0 97.0 loc297
71.0 81.0 loc298
80.0 87.0 loc299
43.0 92.0 loc300
70.0 84.0 loc301
26.0 37.0 loc302
46.0 5.0 loc303
92.0 34.0 loc304
95.0 32.0 loc305
71.0 49.0 loc306
69.0 23.0 loc307
39.0 51.0 loc308
33.0 88.0 loc309
26.0 78.0 loc310
76.0 91.0 loc311
41.0 90.0 loc312
76.0 64.0 loc313
53.0 58.0 loc314
86.0 15.0 loc315
88.0 83.0 loc316
86.0 54.0 loc317
49.0 63.0 loc318
36.0 58.0 loc319
71.0 68.0 loc320
19.0 19.0 loc321
90.0 30.0 loc322
64.0 54.0 loc323
32.0 71.0 loc324
45.0 72.0 loc325
26.0 74.0 loc326
94.0 33.0 loc327
99.0 96.0 loc328
85.0 78.0 loc329
87.0 52.0 loc330
2.0 62.0 loc331
93.0 70.0 loc332
75.0 28.0 loc333
67.0 91.0 loc334
35.0 58.0 loc335
50.0 11.0 loc336
74.0 74.0 loc337
23.0 31.0 loc338
41.0 97.0 loc339
34.0 94.0 loc340
24.0 34.0 loc341
1.0 71.0 loc342
87.0 68.0 loc343
89.0 50.0 loc344
7.0 32.0 loc345
19.0 8.0 loc346
14.0 50.0 loc347
38.0 5.0 loc348
53.0 95.0 loc349
15.0 66.0 loc350
95.0 81.0 loc351
47.0 67.0 loc352
63.0 55.0 loc353
25.0 39.0 loc354
41.0 79.0 loc355
14.0 50.0 loc356
86.0 7.0 loc357
65.0 49.0 loc358
44.0 20.0 loc359
37.0 22.0 loc360
4.0 46.0 loc361
91.0 94.0 loc362
54.0 84.0 loc363
43.0 4.0 loc364
64.0 51.0 loc365
46.0 43.0 loc366
82.0 87.0 loc367
8.0 53.0 loc368
30.0 58.0 loc369
72.0 56.0 loc370
47.0 42.0 loc371
88.0 25.0 loc372
43.0 86.0 loc373
24.0 91.0 loc374
45.0 29.0 loc375
60.0 14.0 loc376
90.0 90.0 loc377
70.0 42.0 loc378
79.0 16.0 loc379
51.0 32.0 loc380
53.0 30.0 loc381
38.0 63.0 loc382
81.0 88.0 loc383
26.0 59.0 loc384
59.0 78.0 loc385
4.0 99.0 loc386
60.0 53.0 loc387
68.0 86.0 loc388
83.0 27.0 loc389
98.0 6.0 loc390
25.0 26.0 loc391
18.0 52.0 loc392
23.0 19.0 loc393
41.0 43.0 loc394
25.0 38.0 loc395
11.0 19.0 loc396
94.0 51.0 loc397
37.0 2.0 loc398
71.0 99.0 loc399
9.0 99.0 loc400
74.0 83.0 loc401
42.0 47.0 loc402
11.0 59.0 loc403
34.0 57.0 loc404
22.0 43.0 loc405
49.0 73.0 loc406
96.0 73.0 loc407
